"iso_2","iso_3","country","year","beer_excise_hl_usd","beer_low_alc_usd","still_wine_excise_hl_usd","sparkling_wine_excise_hl_usd","low_alc_excise_hl_usd","alc_excise_hl_usd","small_dist_rate","cigarette_excise_1k_usd","cigarette_excise_1k_pct_rsp","cigar_excise_1k_usd","cigar_excise_1k_pct_rsp","roll_tob_excise_1kg_usd","roll_tob_excise_1kg_pct_rsp","cig_pack_ex_tax_price_usd","cig_pack_specific_pct_rsp","cig_pack_ad_val_pct_rsp","cig_pack_sales_pct_rsp","cig_pack_total_tax_pct_rsp","cig_pack_price_usd","unleaded_total_tax_pct_price","unleaded_excise_pct_price","diesel_total_tax_pct_price","diesel_excise_pct_price","household_fuel_total_tax_pct_price","household_fuel_excise_pct_price"
"ES","ESP","Spain",2018,NA,NA,0,0,0,1026.15730337079,1,27.0786516853933,51,0,15.8,24.7191011235955,41.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES","ESP","Spain",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.8037719855902,36.4484000847637,48.5390946502058,31.1934156378601,29.9401896804494,12.584817779623
"ES","ESP","Spain",2020,NA,NA,0,0,0,1077.4606741573,1,27.752808988764,51,0,15.8,26.4044943820225,41.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FI","FIN","Finland",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04115896279594,13.56,52,19.35,84.91,6.89966178128523,NA,NA,NA,NA,NA,NA
"FI","FIN","Finland",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0215796460177,13.56,52,19.35,84.91,6.76991150442478,NA,NA,NA,NA,NA,NA
"FI","FIN","Finland",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.328370554177,47.9735318444996,53.5563444940932,34.2015057844158,44.4128331947302,25.0579944850527
"FI","FIN","Finland",2018,39.9438202247191,8.98876404494382,430.337078651685,430.337078651685,NA,5376.40449438202,0,60.3932584269663,52,11.2359550561798,34,40.7303370786517,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FI","FIN","Finland",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.3701149167495,46.0152762070721,57.0467637329944,37.6919341962241,44.7412422005628,25.3864034908854
"FI","FIN","Finland",2020,41.0112359550562,8.98876404494382,446.067415730337,446.067415730337,NA,5483.14606741573,0,78.3707865168539,52,33.7078651685393,34,52.247191011236,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FR","FRA","France",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55467869222097,13.93,49.7,16.67,80.3,7.89177001127396,NA,NA,NA,NA,NA,NA
"FR","FRA","France",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52544247787611,13.93,49.7,16.67,80.3,7.74336283185841,NA,NA,NA,NA,NA,NA
"FR","FRA","France",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.881636205396,47.2149695387293,59.9146110056926,43.2479443390259,32.0413436692506,15.374677002584
"FR","FRA","France",2018,8.33707865168539,4.15730337078652,4.24719101123596,10.5056179775281,4.24719101123596,1956.22471910112,0,54.7752808988764,49.7,21.3483146067416,23,75.8426966292135,37.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FR","FRA","France",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.5196556213087,45.852988954642,58.910825815406,42.2693268563498,33.4408602150538,16.7741935483871
"FR","FRA","France",2020,8.41573033707865,4.21348314606742,4.29213483146067,10.6067415730337,4.29213483146067,1975.88764044944,0,69.6629213483146,52.7,39.6629213483146,32.3,85.6179775280899,46.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GB","GBR","United Kingdom",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08301158301158,47.33,16.5,16.67,80.5,10.6821106821107,NA,NA,NA,NA,NA,NA
"GB","GBR","United Kingdom",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.18421052631579,47.33,16.5,16.67,80.5,11.2010796221323,NA,NA,NA,NA,NA,NA
"GB","GBR","United Kingdom",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.4882154882155,48.8215488215488,64.0987896630684,47.4321229964017,35.0198412698413,18.3531746031746
"GB","GBR","United Kingdom",2018,24.4615384615385,10.7948717948718,370.064102564103,474,114.012820512821,3684.61538461538,0,278.5,16.5,347.384615384615,0,283.564102564103,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GB","GBR","United Kingdom",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.0719582312337,46.405291564567,60.7433324079391,44.0766530646394,23.6394557823129,18.8775510204082
"GB","GBR","United Kingdom",2020,24.4615384615385,10.7948717948718,370.064102564103,474,114.012820512821,3684.61538461538,0,292.679487179487,16.5,365.076923076923,0,300.833333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GR","GRC","Greece",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.874859075535513,41.25,20,19.35,80.6,4.50958286358512,NA,NA,NA,NA,NA,NA
"GR","GRC","Greece",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.653550884955752,40.24,26,19.35,85.59,4.53539823008849,NA,NA,NA,NA,NA,NA
"GR","GRC","Greece",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.7407161979484,46.385877488271,51.5187649052341,32.1639261955567,51.293516448419,31.9386777387416
"GR","GRC","Greece",2018,14.0449438202247,NA,22.4719101123595,22.4719101123595,22.4719101123595,2752.80898876404,0,92.6966292134831,26,0,35,191.011235955056,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
